Bedard;(2003);(26);Tracking;Stop-sel;!1;59;567;158;524;235;59;587;223;403;187;121;1529
Bitsakou;(2008);(27);Tracking;Stop;!1;54;615;118;286;108;29;660;140;254;98;32;580
Bitsakou;(2008);(27);Tracking;Stop;!1;23;546;138;300;153;21;559;133;201;57;99;1258
Chhabildas;(2001);(28);Tracking;Stop;!1;33;—;—;341;131;82;—;—;258;85;83;427
Daugherty;(1993);(29);Variable;Stop;!1;11;739;—;153;—;15;702;—;148;—;5;2826c
Dimoska;(2003);(30);Tracking;Stop;!1;13;724;69;360;61;13;645;112;260;88;100;882
Geurts;(2004);(31);Variable;Change;1;54;498;129;321;96;41;487;101;237;72;84;321
Jennings;(1997);(32);Fixed;Stop;3;12;527;—;348;—;26;515;—;352;—;!4;2184c
Johnstone;(2007);(33);Tracking;Stop;!1;13;743;117;480;164;13;667;162;541;88;!61;2665
Konrad;(2000);(34);Tracking;Stop;1;31;612;59;431;77;26;572;69;357;76;74;414
Konrad;(2000);(35);Tracking;Stop;1;10;593;30;431;62;10;572;64;351;70;80;874
Kuntsi;(2001);(36);Variable;Stop;1;51;527;96;239;81;118;476;102;222;68;17;146
Liotti;(2007);(37);Variable;Stop;!1;16;840;176;283;163;30;966;147;210;102;73;1525
Manassis;(2000);(38);Tracking;Stop;!1;15;672;139;288;157;16;567;105;237;157;51;3184
McInerney;(2003);(39);Tracking;Stop;!1;30;—;—;364;100;30;289;74;75;516
Nigg;(1999);(40);Tracking;Stop;!1;25;714;98;405;156;25;652;148;295;84;110;1256
Nigg;(2002);(41);Tracking;Stop;!1;64;719;105;399;170;41;654;129;298;83;101;814
Nigg;(2007);(42);Tracking;Stop;!1;134;—;—;418;156;72;—;—;322;108;96;425
Oosterlaan;(1996);(43);Variable;Stop;1;15;428;71;256;63;17;352;58;224;33;32;305
Oosterlaan;(1998);(44);Variable;Stop;1;14;420;80;247;139;21;330;50;192;69;55;1250
Overtoom;(2002);(45);Fixed;Stop;1;16;598;161;454;280;16;508;104;262;91;192;5418
Pliszka;(1997);(46);Variable;Stop;!1;13;839;108;329;90;14;731;65;221;67;108;923
Pliszka;(1997);(46);Variable;Stop;!1;25;—;—;288;163;31;—;—;176;59;112;993
Pliszka;(2000);(47);Variable;Stop;!1;10;625;140;428;155;10;679;114;337;73;91;2935
Pliszka;(2006);(48);Variable;Stop;!1;8;1040;290;719;124;15;1175;120;644;108;75;2473
Purvis;(2000);(49);Tracking;Stop;!1;17;658;105;308;132;17;534;89;265;86;43;1460
Rubia;(1998);(50);Variable;Stop;1;11;603;82;330;81;11;602;83;260;26;70;658
Rubia;(2001);(51);Fixed;Stop;1;2;16;590;109;271;113;23;611;93;229;38;42;640
Rubia;(2005);(52);Tracking;Stop;1;16;809;121;210;316;21;758;161;255;283;!45;9752
Rubia;(2007);(53);Tracking;Stop;1;32;—;—;279;105;34;—;—;214;75;65;500
Rucklidge;(2002);(54);Tracking;Stop;!1;35;440;107;216;122;37;404;105;152;52;64;479
Schachar;(1995);(56);Variable;Stop;!1;14;841;202;472;259;22;719;137;355;94;117;3636
Schachar;(2000);(55);Tracking;Stop;!1;72;664;133;332;149;33;579;108;264;76;68;756
Schachar;(2004);(57);Tracking;Stop;!1;151;635;135;314;168;41;578;138;234;98;80;754
Schachar;(2007);(58);Tracking;Stop;!1;78;620;109;326;163;50;612;150;255;109;71;685
Scheres;(2001);(59);Tracking;Stop;1;24;456;91;251;128;41;404;72;222;95;29;774
Slusarek;(2001);(60);Tracking;Stop;1;33;569;172;297;139;33;584;156;251;116;46;993
Solanto;(2001);(61);Variable;Stop;!1;77;764;186;436;281;29;769;119;290;104;146;2877
Stevens;(2002);(62);Tracking;Stop;!1;76;506;—;343;—;76;526;—;296;—;47;472c
Walcott;(2004);(63);—;Stop;!1;26;—;—;434;105;23;—;—;311;90;123;791
Willcutt;(2005);(64);Tracking;Stop;!1;113;672;121;340;125;151;660;118;281;115;59;220
